Mes,Demanda,Dias,Unidades_por_operario,Operarios_requeridos,Operarios_actuales,Operarios_contratados,Operarios_despedidos,Operarios_utilizados,Unidades_producidas,Unidades_disponibles,Inventario_final,Costo_contratar,Costo_despedir,Costo_mano_obra,Costo_almacenamiento,Costo_total,Producto
2026-06-01,251,26,78,3,3,0,1,3,234,259,8,0.0,0.0,1254.24,0.0,1254.24,Cacao clásico 170 g
2026-07-01,201,27,81,3,3,0,0,3,243,251,50,0.0,0.0,1302.48,0.0,1302.48,Cacao clásico 170 g
2026-08-01,351,26,78,4,4,1,0,4,312,362,11,482.0,0.0,1672.32,0.0,2154.32,Cacao clásico 170 g
2026-06-01,165,26,78,2,2,0,2,2,156,181,16,0.0,0.0,836.16,0.0,836.16,Cacao en polvo 170 g
2026-07-01,183,27,81,3,3,1,0,3,243,259,76,482.0,0.0,1302.48,0.0,1784.48,Cacao en polvo 170 g
2026-08-01,214,26,78,2,2,0,1,2,156,232,18,0.0,0.0,836.16,0.0,836.16,Cacao en polvo 170 g
2026-06-01,466,26,78,6,6,2,0,6,468,493,27,964.0,0.0,2508.48,0.0,3472.48,Cacao especial 200 g
2026-07-01,380,27,81,5,5,0,1,5,405,432,52,0.0,0.0,2170.8,0.0,2170.8,Cacao especial 200 g
2026-08-01,569,26,78,7,7,2,0,7,546,598,29,964.0,0.0,2926.56,0.0,3890.56,Cacao especial 200 g
