Nombre,Tamaño (g),Descripción,Precio Unitario ($),Lote,Inventario,Produccion promedio (por operario),Pasta de cacao (g),Nibs de cacao (g),Cacao seco (g),Cacao molido (g),Manteca de cacao (g),Azucar (g),Vainilla (g),Especias Dulces (g),Lecitina de soya (g),Sal (g),Fundas
Cacao clásico,170,Cacao clásico 170 g,3.5,230,25,3,170.0,180,215,0,0,0.0,0.0,0.0,0.0,0.0,1
Cacao en polvo,170,Cacao en polvo 170 g,3.5,360,25,3,0.0,180,215,170,0,0.0,0.0,0.0,0.0,0.0,1
Cacao especial,200,Cacao especial 200 g,3.0,140,25,3,197.2,120,156,0,8,66.7,0.22,0.44,0.89,0.09,1
